Brick,,,,,
TIME,delta,Vel(km/h),Acc x (m/s^2),Acc y (m/s^2),Acc z (m/s^2)
293617,21170,0.09,0.24,6.39,8.47
293621,21170,0.09,0.31,6.2,8.47
293625,21170,0.09,0,6.12,8.43
293629,21170,0.09,-0.08,5.22,9.45
293633,21170,0.09,-0.27,5.14,10.55
293637,21170,0.09,-0.35,5.14,10.43
293641,21170,0.09,-0.63,6,10.04
293645,21170,0.09,-0.55,6.43,9.81
293649,21170,0.09,-0.55,6.47,9.02
293653,21170,0.09,-0.47,6.75,8.83
293657,21170,0.09,-0.35,6.47,9.1
293661,21170,0.09,0,5.92,8.94
293664,21170,0.09,0,6.2,8.79
293668,21170,0.09,0,5.81,8.59
293672,21170,0.09,0,5.81,8.87
293677,21170,0.09,0.04,6.16,8.59
293681,21170,0.09,0.27,6.2,8.47
293685,21170,0.09,0.2,6.24,8.87
293689,21170,0.09,0.51,6.32,8.83
293692,21170,0.09,0.94,6.04,9.1
293696,21170,0.09,0.75,6.2,9.34
293700,21170,0.09,0.78,5.88,9.89
293704,21170,0.09,1.18,5.77,10.24
293708,21170,0.09,2.28,5.69,10.32
293712,21170,0.09,2.31,5.57,9.26
293716,21170,0.09,1.22,5.84,8.75
293721,21170,0.09,0.43,6,8.04
293724,21170,0.09,0.16,6.08,8.08
293728,21170,0.09,0.39,5.96,7.81
293732,21170,0.09,1.29,6.94,8.24
293736,21170,0.09,1.69,6.08,8.75
293740,21170,0.09,2.08,5.41,9.38
293744,21170,0.09,1.65,4.79,9.02
293748,21170,0.09,1.14,5.41,8.71
293751,21170,0.09,0.86,5.96,8.83
293755,21170,0.09,1.06,5.77,9.1
293760,21170,0.09,1.18,5.92,9.73
293764,21170,0.09,0.9,5.81,9.53
293768,21170,0.09,1.1,6.12,9.18
293772,21170,0.09,0.82,6.08,9.26
293776,21170,0.09,0.51,5.84,8.94
293779,21170,0.09,0.43,6.08,8.16
293783,21170,0.09,0.31,5.77,8.55
293787,21170,0.09,0.67,5.61,8.75
293791,21170,0.09,1.1,5.41,9.06
293795,21170,0.09,1.33,5.26,8.87
293799,21170,0.09,1.41,5.41,9.1
293804,21170,0.09,1.22,5.57,9.22
293808,21170,0.09,1.37,5.53,9.45
293811,21170,0.09,1.1,5.33,9.65
293815,21170,0.09,1.14,5.45,9.41
293819,21170,0.09,1.29,5.3,9.96
293823,21170,0.09,1.41,4.98,10.59
293827,21170,0.09,1.61,5.06,10.08
293831,21170,0.09,1.33,5.1,9.53
293835,21170,0.09,1.53,5.22,8.67
293839,21170,0.09,1.65,5.65,8.59
293842,21170,0.09,1.8,5.45,8.83
293847,21170,0.09,1.96,6.39,8.98
293851,21170,0.09,2.08,5.18,9.38
293855,21170,0.09,1.77,5.1,9.57
293859,21170,0.09,1.92,4.35,9.49
293863,21170,0.09,1.84,3.92,10.08
293867,21170,0.09,2,4.04,9.85
293870,21170,0.09,1.8,4.39,9.57
293874,21170,0.09,1.77,5.77,8.55
293878,21170,0.09,1.33,6.75,8.94
293882,21170,0.09,1.49,7.49,8.39
293886,21170,0.09,1.53,6.86,9.18
293891,21170,0.09,1.41,6.16,9.61
293895,21170,0.09,1.29,5.96,9.69
293899,21170,0.09,1.06,5.53,9.53
293902,21170,0.09,0.94,5.37,8.83
293906,21170,0.09,0.75,5.3,8.55
293910,21170,0.09,0.59,5.41,8.36
293914,21170,0.09,0.75,5.18,8.9
293918,21170,0.09,0.9,5.3,9.26
293922,21170,0.09,0.16,5.06,10.28
293926,741,2.43,0.12,5.49,10.24
293931,741,2.43,-0.31,5.81,9.57
293934,741,2.43,0.98,6.24,9.1
293938,741,2.43,1.45,6.24,8.24
293942,741,2.43,1.69,6.2,8.83
293946,741,2.43,1.65,5.45,9.1
293949,741,2.43,0.75,4.94,9.65
293953,741,2.43,0.47,4.94,9.38
293957,741,2.43,0.35,6.51,9.65
293961,741,2.43,1.1,7.34,8.83
293965,741,2.43,1.29,7.37,9.02
293968,741,2.43,1.1,6.86,9.53
293972,741,2.43,0.86,6.67,9.65
293977,741,2.43,0.9,6.47,8.98
293981,741,2.43,1.02,6.08,8.55
293984,741,2.43,0.63,6.51,8.2
293988,741,2.43,0.82,6.16,8.55
293992,741,2.43,0.16,5.73,8.36
293996,741,2.43,-0.08,5.37,8.9
294000,741,2.43,-0.31,5.18,8.94
294003,741,2.43,-0.35,5.1,9.02
294007,741,2.43,-0.31,4.55,9.3
294011,741,2.43,-0.59,4.43,9.34
294016,741,2.43,-1.1,4.47,9.81
294019,741,2.43,-0.71,4.31,9.85
294023,741,2.43,-0.63,4.2,10
294027,741,2.43,-0.16,3.88,10.12
294031,741,2.43,-0.08,3.69,9.85
294035,741,2.43,0.2,3.57,10.4
294038,741,2.43,0.39,3.41,9.61
294042,741,2.43,0.43,3.33,9.65
294046,741,2.43,0.59,3.57,8.83
294050,741,2.43,0.51,3.18,8.28
294054,741,2.43,0.63,3.53,9.26
294057,741,2.43,0.51,4.63,10.24
294062,741,2.43,0.82,4.67,10.67
294066,741,2.43,0.94,4.98,11.45
294070,741,2.43,1.29,4.9,11.34
294074,741,2.43,1.45,4.82,11.34
294077,741,2.43,1.8,5.06,10.98
294081,741,2.43,2.28,5.02,10.59
294085,741,2.43,2.16,5.02,10.24
294089,741,2.43,2.31,4.79,10.36
294093,741,2.43,2.12,4.94,9.92
294097,741,2.43,1.92,4.98,10.47
294100,741,2.43,1.49,4.98,10.24
294105,741,2.43,0.94,4.67,9.96
294109,741,2.43,0.12,4.47,10.28
294113,741,2.43,-0.24,4.28,10.87
294117,741,2.43,-0.39,4.43,9.81
294120,741,2.43,-0.59,5.18,9.26
294124,741,2.43,-0.12,5.53,8.79
294128,741,2.43,-0.35,5.61,8.83
294132,741,2.43,0,5.81,8.28
294135,741,2.43,-0.2,6.98,7.73
294139,741,2.43,0.08,6.2,7.3
294144,741,2.43,-0.35,5.77,7.3
294148,741,2.43,-0.24,4.67,9.49
294152,741,2.43,-0.08,3.88,10.98
294155,741,2.43,-0.16,4.67,10.94
294159,741,2.43,-0.63,5.65,10.04
294163,741,2.43,-0.94,7.65,8.24
294167,741,2.43,-0.86,8,7.69
294171,741,2.43,-0.47,7.88,9.1
294174,741,2.43,-0.47,7.3,9.69
294178,741,2.43,-0.43,6.83,9.81
294182,741,2.43,-0.16,6.32,9.49
294187,741,2.43,-0.08,6.04,8.75
294190,741,2.43,0,5.92,8.75
294194,741,2.43,-0.43,5.61,9.22
294198,741,2.43,-0.43,5.45,8.98
294202,741,2.43,-0.2,4.86,10
294206,741,2.43,0.12,5.02,10.24
294209,741,2.43,-0.27,5.18,9.73
294213,741,2.43,-0.35,5.18,10.4
294217,741,2.43,-0.39,4.82,11.92
294221,741,2.43,-0.31,4.24,12.32
294225,741,2.43,-0.08,4.86,11.26
294228,741,2.43,0,4.75,10.28
294233,741,2.43,0.16,5.1,9.89
294237,741,2.43,0.59,3.8,10.24
294241,741,2.43,0.35,2.79,10.51
294245,741,2.43,0.35,2.12,10.12
294249,741,2.43,0.08,2.47,9.81
294252,741,2.43,0.12,3.92,8.75
294256,741,2.43,0.27,5.45,7.49
294260,741,2.43,0.08,6.04,8.9
294264,741,2.43,0.39,5.65,9.57
294267,741,2.43,0.78,5.26,11.73
294272,741,2.43,1.61,4.47,11.34
294276,741,2.43,1.69,4.67,10.83
294280,741,2.43,1.57,5.49,9.53
294284,741,2.43,0.35,5.65,7.81
294287,741,2.43,0.51,5.77,7.34
294291,741,2.43,0.12,5.02,6.86
294295,741,2.43,0.12,5.22,6.59
294299,741,2.43,0.82,3.92,7.18
294302,741,2.43,0.94,3.65,8.04
294306,741,2.43,0.04,4.63,7.69
294310,741,2.43,-0.24,3.88,7.61
294315,741,2.43,0.16,4.12,7.65
294319,741,2.43,-0.12,4.9,9.3
294322,741,2.43,-0.51,5.14,10.08
294326,741,2.43,0.24,5.69,10.83
294330,741,2.43,0.43,5.1,11.02
294334,741,2.43,0.67,4.71,10.71
294338,741,2.43,0.35,4.24,10.67
294341,741,2.43,0.47,4.12,10.08
294345,419,4.3,0.78,4.28,9.53
294349,419,4.3,0.75,4.67,9.1
294353,419,4.3,0.98,4.79,8.87
294358,419,4.3,0.55,4.24,9.34
294361,419,4.3,0.78,4.35,9.57
294365,419,4.3,1.06,4.9,9.49
294369,419,4.3,0.82,5.41,9.96
294373,419,4.3,1.06,6.04,9.57
294377,419,4.3,0.86,6.43,9.89
294380,419,4.3,0.98,6.32,9.65
294384,419,4.3,0.98,6.12,10.08
294388,419,4.3,0.86,5.45,9.81
294392,419,4.3,0.94,5.1,9.69
294395,419,4.3,0.78,4.98,9.73
294400,419,4.3,0.51,4.79,8.87
294404,419,4.3,0.12,5.06,8.63
294408,419,4.3,0,5.22,8.55
294411,419,4.3,0,5.84,8.51
294415,419,4.3,-0.08,5.22,8.43
294419,419,4.3,-0.12,4.43,8.83
294423,419,4.3,-0.59,3.41,8.59
294427,419,4.3,-0.24,3.18,7.96
294430,419,4.3,-0.08,3.02,7.61
294434,419,4.3,0.04,3.45,7.34
294438,419,4.3,0.39,3.1,8.47
294443,419,4.3,0.71,2.67,10.04
294446,419,4.3,1.22,2.51,10.98
294450,419,4.3,1.65,2.67,11.06
294454,419,4.3,1.84,3.41,10.59
294458,419,4.3,2.2,3.53,10.83
294462,419,4.3,2.55,3.65,10.83
294466,419,4.3,2.86,3.69,11.45
